Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
0-61,,FALSE,8/16/2013 - 11/14/2013,11,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.61,Color,Xerox,Color Device,,,FBT160702,OK,OK,OK,OK,,,,,51456,51467,18619,18620,32837,32847,18583,18584,32844,32854,,,,,,,,
color LaserJet 3700,,TRUE,8/16/2013 - 11/14/2013,212,11/14/2013 11:27 AM,12/03/2012 15:14,55000,30.30.15.112,Color,HP,Color LaserJet 3700,16,16,CNLBB40308,7%,38%,92%,55%,,,,,27672,27884,2386,2417,25286,25467,2039,2070,25633,25814,,,,,,,,
Color LaserJet CP3505,,FALSE,8/16/2013 - 11/14/2013,188,11/14/2013 11:27 AM,12/03/2012 14:59,65000,30.30.15.67,Color,HP,LaserJet CP3505,22,22,CNBC8420CJ,56%,99%,37%,34%,,,,,15846,16034,3969,4008,11877,12026,3959,3998,11857,12006,,,,,,,,
FS-1135MFP,E1858,TRUE,8/16/2013 - 11/14/2013,579,10/15/2013 11:20 AM,2/21/2013 7:55 PM,,30.30.15.98,Mono,Kyocera Mita,Monochrome Device,,,NR42311227,6%,,,,,,,,2724,3303,2724,3303,,,1418,1946,,,1278,1314,,,1040,1062,28,43
Infoprint 1332,,FALSE,8/16/2013 - 11/14/2013,462,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.41,Mono,IBM,Infoprint 1332,35,,992BLDP,Unknown,,,,,,,,53816,54278,53816,54278,,,,,,,,,,,,,,
LaserJet 4050 Series,,FALSE,8/16/2013 - 11/14/2013,848,11/14/2013 11:27 AM,12/03/2012 14:59,65000,30.30.15.33,Mono,HP,LaserJet 4050,17,,USBB226224,0%,,,,,,,,147417,148265,147417,148265,,,,,,,,,,,,,,
LaserJet 4050 Series,,FALSE,8/16/2013 - 11/14/2013,244,11/14/2013 11:27 AM,12/03/2012 14:59,65000,30.30.15.49,Mono,HP,LaserJet 4050,17,,USQL018860,87%,,,,,,,,74796,75040,74796,75040,,,,,,,,,,,,,,
LaserJet 4240,,FALSE,8/16/2013 - 11/14/2013,2536,11/14/2013 11:27 AM,12/03/2012 14:59,6000,30.30.15.6,Mono,HP,LaserJet 4240,40,,CNRXY40514,26%,,,,,,,,83282,85818,83282,85818,,,81842,84378,,,,,,,,,,
LaserJet 4240,,FALSE,8/16/2013 - 11/14/2013,4825,11/14/2013 11:27 AM,12/03/2012 14:59,6000,30.30.15.16,Mono,HP,LaserJet 4240,40,,CNRXR45294,26%,,,,,,,,288990,293815,288990,293815,,,288990,293815,,,,,,,,,,
LaserJet 4240,,FALSE,8/16/2013 - 11/14/2013,15679,11/14/2013 11:27 AM,12/03/2012 14:59,6000,30.30.15.24,Mono,HP,LaserJet 4240,40,,CNRXS35778,25%,,,,,,,,661637,677316,661637,677316,,,661637,677316,,,,,,,,,,
LaserJet 4240,,FALSE,8/16/2013 - 11/14/2013,1246,11/14/2013 11:27 AM,12/03/2012 14:59,6000,30.30.15.19,Mono,HP,LaserJet 4240,40,,CNRXR14672,96%,,,,,,,,148416,149662,148416,149662,,,147756,149002,,,,,,,,,,
LaserJet 4240,,FALSE,8/16/2013 - 11/14/2013,8801,11/14/2013 11:27 AM,12/03/2012 14:59,6000,30.30.15.40,Mono,HP,LaserJet 4240,40,,CNRXS11230,37%,,,,,,,,143409,152210,143409,152210,,,143409,152210,,,,,,,,,,
LaserJet 600 M601,,FALSE,8/16/2013 - 11/14/2013,10840,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.70,Mono,HP,Monochrome Device,,,CNBCD7J07D,29%,,,,,,,,19126,29966,19126,29966,,,19124,29959,,,,,,,,,,
LaserJet 600 M601,,FALSE,8/16/2013 - 11/14/2013,2900,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.65,Mono,HP,Monochrome Device,,,CNBCD7J04F,38%,,,,,,,,4240,7140,4240,7140,,,4238,7138,,,,,,,,,,
LaserJet 600 M601,,FALSE,8/16/2013 - 11/14/2013,3135,10/15/2013 10:25 PM,12/03/2012 14:59,,30.30.15.60,Mono,HP,Monochrome Device,,,CNBCD7J03Z,25%,,,,,,,,4765,7900,4765,7900,,,4760,7893,,,,,,,,,,
LaserJet 600 M601,,FALSE,8/16/2013 - 11/14/2013,14327,11/14/2013 9:26 AM,3/28/2013 11:50 PM,,30.30.15.38,Mono,HP,Monochrome Device,,,CNBCD7J022,64%,,,,,,,,13670,27997,13670,27997,,,13659,27986,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,2137,11/14/2013 11:27 AM,12/03/2012 14:59,100000,30.30.15.98,Mono,HP,LaserJet P3005,35,,CNT1N02098,90%,,,,,,,,56531,58668,56531,58668,,,56521,58658,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,2412,11/14/2013 11:27 AM,12/03/2012 14:59,100000,30.30.15.35,Mono,HP,LaserJet P3005,35,,CNG1P00653,81%,,,,,,,,107646,110058,107646,110058,,,107646,110058,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,3067,11/14/2013 11:27 AM,12/03/2012 14:59,100000,30.30.15.52,Mono,HP,LaserJet P3005,35,,CNJ1N31672,11%,,,,,,,,169540,172607,169540,172607,,,169470,172537,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,2013,11/14/2013 11:27 AM,12/03/2012 14:59,100000,30.30.15.85,Mono,HP,LaserJet P3005,35,,CNR1N20588,68%,,,,,,,,124475,126488,124475,126488,,,124406,126385,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,2147,10/07/2013 16:34,12/03/2012 14:59,100000,30.30.15.98,Mono,HP,LaserJet P3005,35,,CNT1N07847,61%,,,,,,,,62842,64989,62842,64989,,,62834,64980,,,,,,,,,,
LaserJet P3005,,FALSE,8/16/2013 - 11/14/2013,16477,11/14/2013 11:27 AM,12/03/2012 14:59,100000,30.30.15.99,Mono,HP,LaserJet P3005,35,,CNG1P00657,32%,,,,,,,,143125,159602,143125,159602,,,142791,159252,,,,,,,,,,
LaserJet P3010 Series,,TRUE,8/16/2013 - 11/14/2013,554,11/14/2013 11:27 AM,9/26/2013 10:41 PM,100000,30.30.15.51,Mono,HP,LaserJet P3010,,,VNB3140457,92%,,,,,,,,2,556,2,556,,,2,556,,,,,,,,,,
LaserJet P3010 Series,,TRUE,8/16/2013 - 11/14/2013,0,11/14/2013 11:27 AM,9/26/2013 10:41 PM,100000,30.30.15.110,Mono,HP,LaserJet P3010,,,VNB3140458,100%,,,,,,,,6,6,6,6,,,6,6,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,2765,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.42,Mono,HP ,LaserJet P4014,45,,CNDX231146,35%,,,,,,,,21565,24330,21565,24330,,,21555,24320,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,10414,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.54,Mono,HP ,LaserJet P4014,45,,CNDX187868,95%,,,,,,,,61869,72283,61869,72283,,,61837,72243,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,11692,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.63,Mono,HP ,LaserJet P4014,45,,CNDX232163,25%,,,,,,,,154454,166146,154454,166146,,,154453,166135,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,8921,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.66,Mono,HP ,LaserJet P4014,45,,CNDX190205,95%,,,,,,,,31998,40919,31998,40919,,,31978,40899,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,8337,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.71,Mono,HP ,LaserJet P4014,45,,CNDX246082,49%,,,,,,,,18537,26874,18537,26874,,,18537,26874,,,,,,,,,,
LaserJet P4014,,FALSE,8/16/2013 - 11/14/2013,6222,11/14/2013 11:27 AM,12/03/2012 14:59,175000,30.30.15.91,Mono,HP ,LaserJet P4014,45,,CNDX190508,38%,,,,,,,,42257,48479,42257,48479,,,42257,48479,,,,,,,,,,
MFC-5460CN,,FALSE,8/16/2013 - 11/14/2013,90,10/08/2013 16:45,05/11/2013 18:31,,30.30.15.230,Color,Brother,Color Device,,,BROC8F579140,OK,,,,,,,,5304,5394,,,,,,,,,,,71,71,,,1735,1778
MFC-7820N,,FALSE,8/16/2013 - 11/14/2013,278,11/14/2013 11:27 AM,1/15/2013 12:12 AM,60000,30.30.15.90,Mono,BROTHER,MFC-7820N,17,,000M7J392066,OK,,,,,,,,12388,12666,12388,12666,,,127,127,,,12216,12494,,,14010,14251,45,45
Phaser 6360DT,,FALSE,8/16/2013 - 11/14/2013,0,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.69,Color,Xerox,Color Device,,,DBY170788,69%,10%,64%,100%,,,,,66678,66678,12597,12597,54081,54081,12105,12105,54081,54081,,,,,,,,
Photosmart Prem-Web C309n,,FALSE,8/16/2013 - 11/14/2013,38,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.80,Color,OTHER,Color Device,,,,6%,0%,0%,0%,,,,,1747,1785,,,,,,,,,,,,,,,,
TASKalfa 3050ci,E1861,TRUE,8/16/2013 - 11/14/2013,5324,11/14/2013 11:27 AM,12/03/2012 14:59,150000,30.30.15.103,Color,KYOCERA MITA,TASKalfa 3050ci,30,30,N2P2505975,92%,52%,66%,60%,,,,,14996,20320,9428,12464,5568,7856,2179,3217,5221,6820,6886,8822,347,1036,6239,7352,,
TASKalfa 3500i,E1859,TRUE,8/16/2013 - 11/14/2013,9479,11/14/2013 7:26 AM,12/03/2012 14:59,175000,30.30.15.100,Mono,KYOCERA MITA,TASKalfa 3500i,35,35,N482508308,24%,,,,,,,,29344,38823,29344,38823,,,10927,15948,,,18417,22875,,,14817,22853,,
TASKalfa 3500i,E1860,TRUE,8/16/2013 - 11/14/2013,23139,11/14/2013 11:27 AM,12/03/2012 15:14,175000,30.30.15.107,Mono,KYOCERA MITA,TASKalfa 3500i,35,35,N482508282,5%,,,,,,,,13717,36856,13717,36856,,,403,1179,,,13314,35677,,,2830,5114,,
TASKalfa 5550ci,E1862,TRUE,8/16/2013 - 11/14/2013,12876,11/14/2013 11:27 AM,12/03/2012 14:59,,30.30.15.104,Color,KYOCERA,TASKalfa 5550ci,55,50,NWL2600458,46%,82%,99%,96%,,,,,37340,50216,18342,23163,18998,27053,7123,10545,18714,26383,11210,12573,284,670,13413,16151,,
